Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active
Tue May 24 08:13:38 EDT 2016,1464092018,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:39 EDT 2016,1464092019,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:40 EDT 2016,1464092020,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:41 EDT 2016,1464092021,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:42 EDT 2016,1464092022,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:43 EDT 2016,1464092023,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:44 EDT 2016,1464092024,182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:45 EDT 2016,1464092025,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:46 EDT 2016,1464092026,182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:47 EDT 2016,1464092027,182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:48 EDT 2016,1464092028,182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:49 EDT 2016,1464092029,182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:50 EDT 2016,1464092030,183000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:51 EDT 2016,1464092031,183000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:52 EDT 2016,1464092032,183000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:53 EDT 2016,1464092033,193000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:54 EDT 2016,1464092034,193000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:55 EDT 2016,1464092035,193000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:56 EDT 2016,1464092036,193000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:57 EDT 2016,1464092037,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:58 EDT 2016,1464092038,194000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:13:59 EDT 2016,1464092039,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:00 EDT 2016,1464092040,195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:01 EDT 2016,1464092041,205000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:02 EDT 2016,1464092042,204000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:03 EDT 2016,1464092043,214000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:04 EDT 2016,1464092044,214000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:05 EDT 2016,1464092045,215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:06 EDT 2016,1464092046,214000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:07 EDT 2016,1464092047,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:08 EDT 2016,1464092048,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:09 EDT 2016,1464092049,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:10 EDT 2016,1464092050,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:11 EDT 2016,1464092051,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:12 EDT 2016,1464092052,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:13 EDT 2016,1464092053,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:14 EDT 2016,1464092054,217000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:15 EDT 2016,1464092055,217000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:16 EDT 2016,1464092056,218000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:17 EDT 2016,1464092057,217000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:18 EDT 2016,1464092058,217000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:19 EDT 2016,1464092059,238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:20 EDT 2016,1464092060,237000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:21 EDT 2016,1464092061,238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:22 EDT 2016,1464092062,238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:23 EDT 2016,1464092063,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:24 EDT 2016,1464092064,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:25 EDT 2016,1464092065,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:26 EDT 2016,1464092066,238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:27 EDT 2016,1464092067,238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:28 EDT 2016,1464092068,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:29 EDT 2016,1464092069,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:30 EDT 2016,1464092070,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:31 EDT 2016,1464092071,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:32 EDT 2016,1464092072,251000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:33 EDT 2016,1464092073,251000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:34 EDT 2016,1464092074,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:35 EDT 2016,1464092075,261000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:36 EDT 2016,1464092076,261000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:37 EDT 2016,1464092077,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:38 EDT 2016,1464092078,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:39 EDT 2016,1464092079,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:40 EDT 2016,1464092080,211000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:41 EDT 2016,1464092081,211000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:42 EDT 2016,1464092082,221000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:43 EDT 2016,1464092083,221000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:44 EDT 2016,1464092084,221000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:45 EDT 2016,1464092085,221000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:46 EDT 2016,1464092086,222000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:47 EDT 2016,1464092087,223000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:48 EDT 2016,1464092088,223000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:49 EDT 2016,1464092089,223000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:50 EDT 2016,1464092090,242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:51 EDT 2016,1464092091,242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:52 EDT 2016,1464092092,243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:53 EDT 2016,1464092093,243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:54 EDT 2016,1464092094,242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:55 EDT 2016,1464092095,243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:56 EDT 2016,1464092096,244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:57 EDT 2016,1464092097,244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:58 EDT 2016,1464092098,244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:14:59 EDT 2016,1464092099,244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:00 EDT 2016,1464092100,244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:01 EDT 2016,1464092101,244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:02 EDT 2016,1464092102,254000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:03 EDT 2016,1464092103,255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:04 EDT 2016,1464092104,255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:05 EDT 2016,1464092105,256000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:06 EDT 2016,1464092106,255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:07 EDT 2016,1464092107,255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:08 EDT 2016,1464092108,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:09 EDT 2016,1464092109,266000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:10 EDT 2016,1464092110,267000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:11 EDT 2016,1464092111,277000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:12 EDT 2016,1464092112,277000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:13 EDT 2016,1464092113,276000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:14 EDT 2016,1464092114,277000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:15 EDT 2016,1464092115,276000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:16 EDT 2016,1464092116,297000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:17 EDT 2016,1464092117,297000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:18 EDT 2016,1464092118,297000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:19 EDT 2016,1464092119,297000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:20 EDT 2016,1464092120,297000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:21 EDT 2016,1464092121,296000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:22 EDT 2016,1464092122,298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:23 EDT 2016,1464092123,298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:24 EDT 2016,1464092124,298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:25 EDT 2016,1464092125,298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:26 EDT 2016,1464092126,298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:27 EDT 2016,1464092127,298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:28 EDT 2016,1464092128,298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:29 EDT 2016,1464092129,298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:30 EDT 2016,1464092130,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:31 EDT 2016,1464092131,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:32 EDT 2016,1464092132,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:33 EDT 2016,1464092133,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:34 EDT 2016,1464092134,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:35 EDT 2016,1464092135,299000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:36 EDT 2016,1464092136,301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:37 EDT 2016,1464092137,301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:38 EDT 2016,1464092138,301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:39 EDT 2016,1464092139,303000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:40 EDT 2016,1464092140,301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:41 EDT 2016,1464092141,301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:42 EDT 2016,1464092142,302000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:43 EDT 2016,1464092143,301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:44 EDT 2016,1464092144,303000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:45 EDT 2016,1464092145,302000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:46 EDT 2016,1464092146,312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:47 EDT 2016,1464092147,322000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:48 EDT 2016,1464092148,322000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:49 EDT 2016,1464092149,322000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:50 EDT 2016,1464092150,322000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:51 EDT 2016,1464092151,333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:52 EDT 2016,1464092152,334000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:53 EDT 2016,1464092153,334000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:54 EDT 2016,1464092154,333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:55 EDT 2016,1464092155,334000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:56 EDT 2016,1464092156,333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:57 EDT 2016,1464092157,333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:58 EDT 2016,1464092158,333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:15:59 EDT 2016,1464092159,354000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:00 EDT 2016,1464092160,354000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:01 EDT 2016,1464092161,354000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:02 EDT 2016,1464092162,355000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:03 EDT 2016,1464092163,356000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:04 EDT 2016,1464092164,356000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:05 EDT 2016,1464092165,355000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:06 EDT 2016,1464092166,356000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:07 EDT 2016,1464092167,356000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:08 EDT 2016,1464092168,355000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:09 EDT 2016,1464092169,356000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
Tue May 24 08:16:10 EDT 2016,1464092170,357000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,
